=====NEW TRIAL=====
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   13.63  134  1.78     8.59    0  0.00   115.32    0  0.00  16  5 79  7.31 6.05 4.56
    5.69  882  4.90     0.00    0  0.00     0.00    0  0.00  25  5 71  7.31 6.05 4.56
    6.14 4766 28.58     0.00    0  0.00     0.00    0  0.00  29 15 56  8.80 6.38 4.68
    5.81 6092 34.55     0.00    0  0.00     0.00    0  0.00  37 22 41  8.80 6.38 4.68
    5.48 6068 32.45     0.00    0  0.00     0.00    0  0.00  35 21 44  8.80 6.38 4.68
    5.78 6872 38.78     0.00    0  0.00     0.00    0  0.00  33 20 48  8.80 6.38 4.68
    5.27 6362 32.77     0.00    0  0.00     0.00    0  0.00  33 21 46  8.80 6.38 4.68
    5.29 5990 30.94     0.00    0  0.00     0.00    0  0.00  37 21 41  10.02 6.67 4.79
    6.54 6217 39.72     0.00    0  0.00     0.00    0  0.00  31 21 48  10.02 6.67 4.79
    5.46 6191 33.03     0.00    0  0.00     0.00    0  0.00  40 22 38  10.02 6.67 4.79
    5.41 6122 32.34     0.00    0  0.00     0.00    0  0.00  34 20 46  10.02 6.67 4.79
    5.26 6990 35.91     0.00    0  0.00     0.00    0  0.00  34 20 46  10.02 6.67 4.79
    5.79 5678 32.09     0.00    0  0.00     0.00    0  0.00  41 21 38  12.02 7.14 4.97
    5.49 6029 32.33     0.00    0  0.00     0.00    0  0.00  32 20 49  12.02 7.14 4.97
    5.51 4925 26.48     0.00    0  0.00     0.00    0  0.00  51 19 31  12.02 7.14 4.97
    7.81 6907 52.70     0.00    0  0.00     0.00    0  0.00  31 19 50  12.02 7.14 4.97
    5.49 6495 34.80     0.00    0  0.00     0.00    0  0.00  33 19 48  12.02 7.14 4.97
    5.31 6704 34.76     0.00    0  0.00     0.00    0  0.00  37 21 42  13.38 7.51 5.11
    5.31 6128 31.77     0.00    0  0.00     0.00    0  0.00  34 20 47  13.38 7.51 5.11
    5.30 5954 30.82     0.00    0  0.00     0.00    0  0.00  34 19 47  13.38 7.51 5.11
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.43 5828 30.92     0.00    0  0.00     0.00    0  0.00  32 19 49  13.38 7.51 5.11
    5.44 6497 34.49     0.00    0  0.00     0.00    0  0.00  32 19 48  13.38 7.51 5.11
    5.48 6170 32.99     0.00    0  0.00     0.00    0  0.00  37 20 43  14.55 7.85 5.25
    5.46 6192 33.02     0.00    0  0.00     0.00    0  0.00  32 19 48  14.55 7.85 5.25
    5.41 6662 35.17     0.00    0  0.00     0.00    0  0.00  35 20 45  14.55 7.85 5.25
    5.49 6148 32.99     0.00    0  0.00     0.00    0  0.00  33 20 48  14.55 7.85 5.25
    5.49 6118 32.80     0.00    0  0.00     0.00    0  0.00  34 20 46  14.55 7.85 5.25
    5.38 6634 34.86     0.00    0  0.00     0.00    0  0.00  42 20 38  15.39 8.13 5.36
    8.09 6239 49.30     0.00    0  0.00     0.00    0  0.00  34 20 46  15.39 8.13 5.36
    5.48 6210 33.25     0.00    0  0.00     0.00    0  0.00  33 20 47  15.39 8.13 5.36
    5.55 5872 31.84     0.00    0  0.00     0.00    0  0.00  35 20 45  15.39 8.13 5.36
    5.52 6492 34.99     0.00    0  0.00     0.00    0  0.00  33 20 47  15.39 8.13 5.36
    5.50 5162 27.73     0.00    0  0.00     0.00    0  0.00  43 18 39  16.00 8.38 5.46
    5.44 6148 32.69     0.00    0  0.00     0.00    0  0.00  36 21 43  16.00 8.38 5.46
    5.44 6611 35.10     0.00    0  0.00     0.00    0  0.00  31 20 49  16.00 8.38 5.46
    5.49 6240 33.46     0.00    0  0.00     0.00    0  0.00  33 20 47  16.00 8.38 5.46
    5.38 6980 36.67     0.00    0  0.00     0.00    0  0.00  35 20 45  16.00 8.38 5.46
    5.49 6160 33.01     0.00    0  0.00     0.00    0  0.00  32 20 48  16.80 8.67 5.58
    5.56 6371 34.59     0.00    0  0.00     0.00    0  0.00  32 20 48  16.80 8.67 5.58
    7.54 6929 51.00     0.00    0  0.00     0.00    0  0.00  39 24 37  16.80 8.67 5.58
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.52 6446 34.74     0.00    0  0.00     0.00    0  0.00  33 20 47  16.80 8.67 5.58
    6.02 8306 48.80     0.00    0  0.00     0.00    0  0.00  40 20 40  16.80 8.67 5.58
    8.37 5695 46.54     0.00    0  0.00     0.00    0  0.00  41 20 39  16.97 8.84 5.66
    5.45 6371 33.92     0.00    0  0.00     0.00    0  0.00  38 20 43  16.97 8.84 5.66
    5.70 6349 35.33     0.00    0  0.00     0.00    0  0.00  37 20 44  16.97 8.84 5.66
    5.39 6893 36.31     0.00    0  0.00     0.00    0  0.00  32 20 49  16.97 8.84 5.66
    5.47 6232 33.31     0.00    0  0.00     0.00    0  0.00  31 19 50  16.97 8.84 5.66
    5.36 6178 32.32     0.00    0  0.00     0.00    0  0.00  34 19 47  17.38 9.06 5.76
    5.32 6727 34.92     0.00    0  0.00     0.00    0  0.00  32 20 48  17.38 9.06 5.76
    5.34 6548 34.17     0.00    0  0.00     0.00    0  0.00  32 19 49  17.38 9.06 5.76
    5.63 5534 30.44     0.00    0  0.00     0.00    0  0.00  34 19 47  17.38 9.06 5.76
    5.54 6722 36.39     0.00    0  0.00     0.00    0  0.00  33 19 48  17.38 9.06 5.76
    5.49 6514 34.94     0.00    0  0.00     0.00    0  0.00  34 19 47  18.07 9.34 5.88
    5.40 6975 36.75     0.00    0  0.00     0.00    0  0.00  31 19 49  18.07 9.34 5.88
